num_qubits,depth,entanglement,noise_type,error_rate,x_noisy,x_ideal
8,3,full,depolarizing,0.01,-0.0015118935566244495,-0.03138600797529634
8,3,full,depolarizing,0.1,-1.7367563830920224e-07,-0.03138600797529634
8,3,full,amplitude_damping,0.001,-0.030290520974537664,-0.03138600797529634
8,3,full,amplitude_damping,0.01,-0.022066815147762764,-0.03138600797529634
8,3,full,amplitude_damping,0.1,-0.0005763241301794096,-0.03138600797529634
8,3,full,readout,0.001,-0.03138600797529631,-0.03138600797529634
8,3,full,readout,0.01,-0.03138600797529631,-0.03138600797529634
8,3,full,readout,0.1,-0.03138600797529631,-0.03138600797529634
8,3,pairwise,depolarizing,0.001,-0.06788646418549388,-0.0864122689888236
8,3,pairwise,depolarizing,0.01,-0.00709501103356242,-0.0864122689888236
8,3,pairwise,depolarizing,0.1,-3.594359457115108e-07,-0.0864122689888236
8,3,pairwise,amplitude_damping,0.001,-0.08382187226236354,-0.0864122689888236
8,3,pairwise,amplitude_damping,0.01,-0.06369672861867536,-0.0864122689888236
8,3,pairwise,amplitude_damping,0.1,-0.003207423559070968,-0.0864122689888236
8,3,pairwise,readout,0.001,-0.08641226898882357,-0.0864122689888236
8,3,pairwise,readout,0.01,-0.08641226898882357,-0.0864122689888236
8,3,pairwise,readout,0.1,-0.08641226898882357,-0.0864122689888236
12,1,linear,depolarizing,0.001,-0.0003382358233189031,-0.00039437343911809
12,1,linear,depolarizing,0.01,-8.041690561063838e-05,-0.00039437343911809
12,1,linear,depolarizing,0.1,-1.0329721214613857e-07,-0.00039437343911809
12,1,linear,amplitude_damping,0.001,-0.00030786312055229565,-0.00039437343911809
12,1,linear,amplitude_damping,0.01,0.00025804171446046895,-0.00039437343911809
12,1,linear,amplitude_damping,0.1,0.00013833357564768287,-0.00039437343911809
12,1,linear,readout,0.001,-0.0003943734391181146,-0.00039437343911809
12,1,linear,readout,0.01,-0.0003943734391181146,-0.00039437343911809
12,1,linear,readout,0.1,-0.0003943734391181146,-0.00039437343911809
12,1,full,depolarizing,0.001,-0.00014431198332194356,-2.785095685698228e-05
12,1,full,depolarizing,0.01,-3.019654386935509e-05,-2.785095685698228e-05
12,1,full,depolarizing,0.1,9.549060757475304e-08,-2.785095685698228e-05
12,1,full,amplitude_damping,0.001,-2.1048381028557737e-05,-2.785095685698228e-05
12,1,full,amplitude_damping,0.01,2.8792005909941568e-05,-2.785095685698228e-05
12,1,full,amplitude_damping,0.1,1.1622557585159046e-06,-2.785095685698228e-05
12,1,full,readout,0.001,-2.7850956856980652e-05,-2.785095685698228e-05
12,1,full,readout,0.01,-2.7850956856980652e-05,-2.785095685698228e-05
12,1,full,readout,0.1,-2.7850956856980652e-05,-2.785095685698228e-05
12,1,pairwise,depolarizing,0.001,0.006939218268228435,0.007936750455258712
12,1,pairwise,depolarizing,0.01,0.001965978521611272,0.007936750455258712
12,1,pairwise,depolarizing,0.1,4.9269520429816814e-06,0.007936750455258712
12,1,pairwise,amplitude_damping,0.001,0.007731885937338575,0.007936750455258712
12,1,pairwise,amplitude_damping,0.01,0.006022854244305848,0.007936750455258712
12,1,pairwise,amplitude_damping,0.1,-3.276670430737919e-05,0.007936750455258712
12,1,pairwise,readout,0.001,0.007936750455258724,0.007936750455258712
12,1,pairwise,readout,0.01,0.007936750455258724,0.007936750455258712
12,1,pairwise,readout,0.1,0.007936750455258724,0.007936750455258712
12,2,linear,depolarizing,0.001,0.013255118074598188,0.016206583376977533
12,2,linear,depolarizing,0.01,0.0019899290718442585,0.016206583376977533
12,2,linear,depolarizing,0.1,1.6195882131150017e-06,0.016206583376977533
12,2,linear,amplitude_damping,0.001,0.015708504294381247,0.016206583376977533
12,2,linear,amplitude_damping,0.01,0.011843623850247646,0.016206583376977533
12,2,linear,amplitude_damping,0.1,0.0003752112322996318,0.016206583376977533
12,2,linear,readout,0.001,0.01620658337697753,0.016206583376977533
12,2,linear,readout,0.01,0.01620658337697753,0.016206583376977533
12,2,linear,readout,0.1,0.01620658337697753,0.016206583376977533
12,2,full,depolarizing,0.001,0.001900654611263678,0.006802431829508743
12,2,full,depolarizing,0.01,1.4603205894390047e-08,0.006802431829508743
12,2,full,depolarizing,0.1,1.8215458560456345e-10,0.006802431829508743
12,2,full,amplitude_damping,0.001,0.006495525449958401,0.006802431829508743
12,2,full,amplitude_damping,0.01,0.004304636797003039,0.006802431829508743
12,2,full,amplitude_damping,0.1,0.00013353901079716867,0.006802431829508743
12,2,full,readout,0.001,0.006802431829508746,0.006802431829508743
12,2,full,readout,0.01,0.006802431829508746,0.006802431829508743
12,2,full,readout,0.1,0.006802431829508746,0.006802431829508743
12,2,pairwise,depolarizing,0.001,-0.0020362122173755316,-0.0026529326953091802
12,2,pairwise,depolarizing,0.01,-0.00017986212666728526,-0.0026529326953091802
12,2,pairwise,depolarizing,0.1,-3.9341001117660247e-08,-0.0026529326953091802
12,2,pairwise,amplitude_damping,0.001,-0.002506859598698174,-0.0026529326953091802
12,2,pairwise,amplitude_damping,0.01,-0.0014709911615610584,-0.0026529326953091802
12,2,pairwise,amplitude_damping,0.1,6.871835126791213e-05,-0.0026529326953091802
12,2,pairwise,readout,0.001,-0.0026529326953091546,-0.0026529326953091802
12,2,pairwise,readout,0.01,-0.0026529326953091546,-0.0026529326953091802
12,2,pairwise,readout,0.1,-0.0026529326953091546,-0.0026529326953091802
12,3,linear,depolarizing,0.001,0.0030757026852512325,0.00440365784450671
12,3,linear,depolarizing,0.01,0.00016341180017832572,0.00440365784450671
12,3,linear,depolarizing,0.1,6.504520724023421e-08,0.00440365784450671
12,3,linear,amplitude_damping,0.001,0.004033666144187577,0.00440365784450671
12,3,linear,amplitude_damping,0.01,0.0017003484090017456,0.00440365784450671
12,3,linear,amplitude_damping,0.1,-7.536241863874571e-05,0.00440365784450671
12,3,linear,readout,0.001,0.004403657844506731,0.00440365784450671
12,3,linear,readout,0.01,0.004403657844506731,0.00440365784450671
12,3,linear,readout,0.1,0.004403657844506731,0.00440365784450671
12,3,full,depolarizing,0.001,-0.0014432655161464869,-0.006967592028321182
12,3,full,depolarizing,0.01,-1.0545882188911916e-07,-0.006967592028321182
12,3,full,depolarizing,0.1,1.5782304933417701e-12,-0.006967592028321182
12,3,full,amplitude_damping,0.001,-0.006585942282633955,-0.006967592028321182
12,3,full,amplitude_damping,0.01,-0.004007410428090239,-0.006967592028321182
12,3,full,amplitude_damping,0.1,-4.262328548846867e-05,-0.006967592028321182
12,3,full,readout,0.001,-0.0069675920283211856,-0.006967592028321182
12,3,full,readout,0.01,-0.0069675920283211856,-0.006967592028321182
12,3,full,readout,0.1,-0.0069675920283211856,-0.006967592028321182
12,3,pairwise,depolarizing,0.001,0.00013446124917014518,-0.000256132531963188
12,3,pairwise,depolarizing,0.01,9.229526688948642e-05,-0.000256132531963188
12,3,pairwise,depolarizing,0.1,1.2609747531897291e-09,-0.000256132531963188
12,3,pairwise,amplitude_damping,0.001,-0.00025561578526074385,-0.000256132531963188
12,3,pairwise,amplitude_damping,0.01,-0.00024665875289748944,-0.000256132531963188
12,3,pairwise,amplitude_damping,0.1,1.8582736958609744e-05,-0.000256132531963188
12,3,pairwise,readout,0.001,-0.00025613253196315723,-0.000256132531963188
12,3,pairwise,readout,0.01,-0.00025613253196315723,-0.000256132531963188
12,3,pairwise,readout,0.1,-0.00025613253196315723,-0.000256132531963188
